id;first_name;last_name;email;phone_number;identity_card;date_inspiration;nationality;upload_identity_card;upload_identity_card_content_type;company_name;type_employed;hire_date;salary;commission_pct
1;Verna;Emard;Emie.Koelpin56@gmail.com;bull;following;along;COTE_IVOIRE;../fake-data/blob/hipster.png;image/png;gleefully vet although;SALARY;2024-01-16T20:23:53;30170;13710
2;Dino;Baumbach;Mellie_Littel@hotmail.com;fries;huzzah downright giving;gladly aggravating;MALI;../fake-data/blob/hipster.png;image/png;terribly brr spur;MARKETER;2024-01-16T16:42:25;13455;7049
3;Frieda;Lynch;Pinkie_Bayer@hotmail.com;legal qua unless;refine coincidence;zowie stench;SENEGAL;../fake-data/blob/hipster.png;image/png;ouch stupidity dabble;CONSULTANT;2024-01-16T16:54:20;3613;12097
4;Katlyn;Bruen;Mose92@yahoo.com;ginger shade;questionably;whose;SENEGAL;../fake-data/blob/hipster.png;image/png;likewise;SALARY;2024-01-17T04:36:08;16621;16119
5;River;Greenholt;Reid_Jones@yahoo.com;quirky reluctantly;truthfully;briefly complex before;MALI;../fake-data/blob/hipster.png;image/png;healthily excluding gauge;SALARY;2024-01-17T02:10:48;10750;5986
6;Alana;Hammes;Levi63@hotmail.com;merge;abnormally;usefully mountain;SENEGAL;../fake-data/blob/hipster.png;image/png;brave;CONSULTANT;2024-01-17T03:09:09;23960;5408
7;Shemar;Hessel;Amber54@gmail.com;finisher jealousy;consequently;joyously yum;CAMEROON;../fake-data/blob/hipster.png;image/png;between certainly fast;SALARY;2024-01-16T14:35:01;3039;1435
8;Loren;Krajcik;Sherwood_Bruen@gmail.com;seriously before;fulminate;like consequently since;COTE_IVOIRE;../fake-data/blob/hipster.png;image/png;dimly without;CONSULTANT;2024-01-17T11:13:15;28299;10624
9;Ben;Haley;Josh72@yahoo.com;willing;inside forenenst;stupendous;CAMEROON;../fake-data/blob/hipster.png;image/png;provided duh;SALARY;2024-01-17T04:54:57;26180;30035
10;Clinton;Brakus;Neva.Hahn@hotmail.com;offload;stockings via;restoration median;SENEGAL;../fake-data/blob/hipster.png;image/png;only lest gosh;SALARY;2024-01-17T06:31:45;28449;37
